;dteday;temp;atemp
0;2011-01-01;0.344167;0.363625
1;2011-02-01;0.363478;0.35373899999999997
2;2011-03-01;0.196364;0.189405
3;2011-04-01;0.2;0.21212199999999998
4;2011-05-01;0.22695700000000002;0.22926999999999997
5;2011-06-01;0.204348;0.23320900000000003
6;2011-07-01;0.196522;0.208839
7;2011-08-01;0.165;0.162254
8;2011-09-01;0.13833299999999998;0.116175
9;2011-10-01;0.150833;0.15088800000000002
10;2011-11-01;0.16909100000000002;0.19146400000000002
11;2011-12-01;0.172727;0.160473
12;2011-01-13;0.165;0.150883
13;2011-01-14;0.16087;0.188413
14;2011-01-15;0.23333299999999998;0.248112
15;2011-01-16;0.231667;0.234217
16;2011-01-17;0.175833;0.176771
17;2011-01-18;0.216667;0.23233299999999998
18;2011-01-19;0.292174;0.29842199999999997
19;2011-01-20;0.261667;0.25505
20;2011-01-21;0.1775;0.157833
21;2011-01-22;0.0591304;0.0790696
22;2011-01-23;0.0965217;0.09883910000000001
23;2011-01-24;0.0973913;0.11793
24;2011-01-25;0.223478;0.234526
25;2011-01-26;0.2175;0.2036
26;2011-01-27;0.195;0.2197
27;2011-01-28;0.203478;0.22331700000000002
28;2011-01-29;0.196522;0.212126
29;2011-01-30;0.216522;0.250322
30;2011-01-31;0.180833;0.18625
31;2011-01-02;0.192174;0.23453000000000002
32;2011-02-02;0.26;0.254417
33;2011-03-02;0.18695699999999998;0.177878
34;2011-04-02;0.211304;0.22858699999999998
35;2011-05-02;0.23333299999999998;0.243058
36;2011-06-02;0.285833;0.291671
37;2011-07-02;0.271667;0.303658
38;2011-08-02;0.220833;0.198246
39;2011-09-02;0.134783;0.144283
40;2011-10-02;0.144348;0.14954800000000001
41;2011-11-02;0.189091;0.213509
42;2011-12-02;0.2225;0.232954
43;2011-02-13;0.31652199999999997;0.324113
44;2011-02-14;0.415;0.39835
45;2011-02-15;0.26608699999999996;0.254274
46;2011-02-16;0.318261;0.3162
47;2011-02-17;0.43583299999999997;0.428658
48;2011-02-18;0.521667;0.511983
49;2011-02-19;0.399167;0.391404
50;2011-02-20;0.285217;0.27733
51;2011-02-21;0.303333;0.284075
52;2011-02-22;0.182222;0.186033
53;2011-02-23;0.221739;0.24571700000000002
54;2011-02-24;0.295652;0.289191
55;2011-02-25;0.364348;0.350461
56;2011-02-26;0.2825;0.282192
57;2011-02-27;0.343478;0.351109
58;2011-02-28;0.407273;0.400118
59;2011-01-03;0.266667;0.263879
60;2011-02-03;0.335;0.320071
61;2011-03-03;0.19833299999999998;0.200133
62;2011-04-03;0.261667;0.255679
63;2011-05-03;0.384167;0.378779
64;2011-06-03;0.37652199999999997;0.366252
65;2011-07-03;0.261739;0.238461
66;2011-08-03;0.2925;0.3024
67;2011-09-03;0.295833;0.286608
68;2011-10-03;0.38909099999999996;0.385668
69;2011-11-03;0.31652199999999997;0.305
70;2011-12-03;0.329167;0.32575
71;2011-03-13;0.384348;0.380091
72;2011-03-14;0.32521700000000003;0.332
73;2011-03-15;0.317391;0.318178
74;2011-03-16;0.365217;0.36693000000000003
75;2011-03-17;0.415;0.410333
76;2011-03-18;0.54;0.5270090000000001
77;2011-03-19;0.4725;0.466525
78;2011-03-20;0.3325;0.32575
79;2011-03-21;0.430435;0.409735
80;2011-03-22;0.44166700000000003;0.44064200000000003
81;2011-03-23;0.346957;0.337939
82;2011-03-24;0.285;0.270833
83;2011-03-25;0.264167;0.256312
84;2011-03-26;0.265833;0.257571
85;2011-03-27;0.25304299999999996;0.250339
86;2011-03-28;0.264348;0.25757399999999997
87;2011-03-29;0.3025;0.292908
88;2011-03-30;0.3;0.29735
89;2011-03-31;0.268333;0.257575
90;2011-01-04;0.3;0.283454
91;2011-02-04;0.315;0.315637
92;2011-03-04;0.378333;0.378767
93;2011-04-04;0.573333;0.542929
94;2011-05-04;0.414167;0.39835
95;2011-06-04;0.390833;0.387608
96;2011-07-04;0.4375;0.433696
97;2011-08-04;0.335833;0.324479
98;2011-09-04;0.3425;0.34152899999999997
99;2011-10-04;0.426667;0.426737
100;2011-11-04;0.5956520000000001;0.565217
101;2011-12-04;0.5025;0.493054
102;2011-04-13;0.4125;0.417283
103;2011-04-14;0.4675;0.462742
104;2011-04-15;0.446667;0.441913
105;2011-04-16;0.43083299999999997;0.425492
106;2011-04-17;0.456667;0.445696
107;2011-04-18;0.5125;0.503146
108;2011-04-19;0.505833;0.48925799999999997
109;2011-04-20;0.595;0.564392
110;2011-04-21;0.459167;0.453892
111;2011-04-22;0.336667;0.321954
112;2011-04-23;0.46;0.450121
113;2011-04-24;0.581667;0.551763
114;2011-04-25;0.606667;0.5745
115;2011-04-26;0.631667;0.594083
116;2011-04-27;0.62;0.575142
117;2011-04-28;0.6175;0.578929
118;2011-04-29;0.51;0.497463
119;2011-04-30;0.4725;0.464021
120;2011-01-05;0.451667;0.448204
121;2011-02-05;0.549167;0.532833
122;2011-03-05;0.616667;0.582079
123;2011-04-05;0.414167;0.40465
124;2011-05-05;0.459167;0.441917
125;2011-06-05;0.479167;0.474117
126;2011-07-05;0.52;0.512621
127;2011-08-05;0.5283329999999999;0.518933
128;2011-09-05;0.5325;0.525246
129;2011-10-05;0.5325;0.522721
130;2011-11-05;0.5425;0.5284
131;2011-12-05;0.535;0.523363
132;2011-05-13;0.5125;0.4943
133;2011-05-14;0.520833;0.500629
134;2011-05-15;0.5625;0.536
135;2011-05-16;0.5775;0.550512
136;2011-05-17;0.561667;0.538529
137;2011-05-18;0.55;0.527158
138;2011-05-19;0.530833;0.510742
139;2011-05-20;0.536667;0.529042
140;2011-05-21;0.6025;0.571975
141;2011-05-22;0.604167;0.5745
142;2011-05-23;0.631667;0.590296
143;2011-05-24;0.66;0.604813
144;2011-05-25;0.660833;0.615542
145;2011-05-26;0.708333;0.654688
146;2011-05-27;0.681667;0.637008
147;2011-05-28;0.655833;0.612379
148;2011-05-29;0.6675;0.61555
149;2011-05-30;0.733333;0.671092
150;2011-05-31;0.775;0.725383
151;2011-01-06;0.764167;0.720967
